Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,target
12.33,2,0.16,10,111.53,2009,1,1,3,2653.7
17.33,1,0.038,8,195.06,1999,1,0,0,5492.55
13.51,0,0.047,0,144.06,2009,1,1,3,3586.98
11.49,0,0.06,4,94.19,1998,2,2,1,2110.46
10.1,0,0.006,6,117.76,1998,2,2,1,2277.36
13.75,0,0.038,13,150.43,2009,1,1,3,3771.58
14.52,2,0.019,0,214.98,1999,1,0,0,5264.97
13.45,2,0.106,0,141.05,2009,1,1,3,3511.42
11.47,0,0.058,10,178.4,2009,1,1,3,3827.72
16.03,0,0.064,10,194.26,1999,1,0,0,5184.12
19.82,0,0.014,3,210.94,1998,2,2,1,2129.71
11.74,1,0.026,9,123.21,2009,1,1,3,2760.22
15.79,0,0.069,3,144.12,1987,0,1,2,4102.26
14.77,0,0.077,15,187.72,1987,0,1,2,4763.72
13.7,0,0.07,13,183.45,1999,1,0,0,4435.82
13.06,2,0.191,13,151.96,2009,1,1,3,3646.25
12.95,1,0.085,9,107.38,2009,1,1,3,4332.32
13.04,0,0.028,1,126.64,1999,1,0,0,6660.96
13.05,2,0.014,5,169.41,1987,0,1,2,4001.06
14.77,1,0.041,11,130.2,1999,1,0,0,6405.03
14.32,2,0.03,5,194.4,1987,0,1,2,4798.7
11.54,2,0.071,14,107.03,1987,0,1,2,2382.28
16.12,1,0.12,8,175.82,1987,0,1,2,4825.55
15.27,2,0.082,14,144.22,2009,1,1,3,3988.19
11.77,2,0.068,3,140.05,2009,1,1,3,3111.23
10.85,2,0.066,0,143.92,2009,1,1,3,2981.2
11.01,0,0.147,6,92.24,1998,2,2,1,1960.49
10.55,2,0.08,13,94.69,1998,2,2,1,1908.09
8.49,0,0.083,13,133.15,1998,2,2,1,2227.81
9.75,0,0.009,13,116.15,1998,2,2,1,2165.05
14.54,0,0.128,4,175.77,1999,1,0,0,4468.82
15.98,0,0.106,13,169.63,1987,0,1,2,4668.38
12.4,2,0.086,6,187.48,1999,1,0,0,4222.99
9.77,0,0.055,3,139.51,2009,1,1,3,2647.72
11.14,2,0.016,3,109.91,1987,0,1,2,2352.39
13.81,1,0.013,8,170.97,1999,1,0,0,4204.48
17.24,0,0.034,4,205.11,1999,1,0,0,5678.44
11.48,0,0.097,3,148.56,2009,1,1,3,3219.19
13.08,1,0.052,8,202.0,1999,1,0,0,5449.81
8.34,2,0.024,3,125.95,1998,2,2,1,2046.14
12.51,0,0.043,4,102.78,2009,1,1,3,2516.6
14.74,2,0.083,14,167.42,1999,1,0,0,4342.22
14.14,1,0.064,9,119.88,2009,1,1,3,3233.7
13.21,0,0.067,13,157.8,2009,1,1,3,3800.42
13.77,0,0.107,2,130.94,2009,1,1,3,3375.92
12.82,2,0.184,0,133.98,2009,1,1,3,3223.86
12.02,0,0.163,6,123.66,2009,1,1,3,2831.06
14.08,0,0.047,4,133.08,2009,1,1,3,3490.85
11.72,0,0.054,13,143.43,2009,1,1,3,3167.74
13.68,0,0.041,7,196.53,1987,0,1,2,4697.71
13.28,0,0.084,10,148.86,2009,1,1,3,3631.96
9.64,1,0.03,9,141.23,2009,1,1,3,2721.32
12.1,0,0.12,0,126.21,2009,1,1,3,2901.63
10.33,0,0.047,13,133.86,2009,1,1,3,2659.17
7.13,0,0.074,5,83.24,1998,2,2,1,900.16
12.48,2,0.214,4,105.0,2009,1,1,3,2554.01
12.24,0,0.136,6,147.39,2009,1,1,3,3366.85
12.54,0,0.023,6,178.97,1987,0,1,2,4081.38
8.87,0,0.088,0,113.03,1998,2,2,1,1901.95
12.18,0,0.097,1,137.39,2009,1,1,3,3149.32
12.17,0,0.059,10,177.83,2009,1,1,3,3973.77
11.92,0,0.028,13,176.11,2009,1,1,3,3882.25
10.92,2,0.031,4,110.63,1987,0,1,2,2315.7
13.34,0,0.093,10,124.78,1999,1,0,0,5703.97
11.31,0,0.152,3,146.11,2009,1,1,3,3131.78
10.66,0,0.174,15,141.0,2009,1,1,3,1640.82
12.88,2,0.026,0,89.6,1987,0,1,2,2329.47
11.01,2,0.117,5,114.6,1987,0,1,2,2417.79
11.59,2,0.015,5,136.89,2009,1,1,3,3005.51
14.02,0,0.129,3,112.36,2009,1,1,3,3051.8
15.23,0,0.047,14,158.9,1999,1,0,0,4279.28
15.03,0,0.066,4,117.04,2009,1,1,3,3376.82
12.47,0,0.035,14,147.92,2009,1,1,3,3429.8
9.37,0,0.049,14,94.63,1998,2,2,1,1638.08
15.12,2,0.058,5,133.4,2009,1,1,3,3730.93
12.88,0,0.044,13,98.09,2009,1,1,3,2503.26
15.52,0,0.053,3,173.65,1987,0,1,2,4646.17
11.47,2,0.047,4,130.27,2009,1,1,3,1979.46
11.1,0,0.053,1,122.31,2009,1,1,3,2596.24
14.08,1,0.047,9,173.2,1999,1,0,0,4311.19
17.42,0,0.027,0,143.85,1998,2,2,1,1901.04
15.14,2,0.031,5,166.7,1999,1,0,0,4417.93
14.14,2,0.02,4,147.81,2009,1,1,3,3804.8
13.59,0,0.069,4,150.54,2009,1,1,3,3735.87
11.52,1,0.066,11,109.74,1987,0,1,2,2433.52
13.7,1,0.116,9,131.24,2009,1,1,3,3367.55
9.2,2,0.15,3,84.37,1998,2,2,1,1390.69
16.4,1,0.227,8,158.93,1987,0,1,2,4543.65
14.76,0,0.033,5,145.42,2009,1,1,3,3896.2
14.35,1,0.053,9,173.04,1999,1,0,0,4369.89
13.36,2,0.104,0,109.88,2009,1,1,3,2853.77
8.32,0,0.084,13,116.5,1998,2,2,1,1848.69
12.23,0,0.054,6,152.83,2009,1,1,3,3477.12
12.21,0,0.205,15,142.68,2009,1,1,3,3264.16
7.02,2,0.029,0,50.42,1998,2,2,1,203.55
13.46,1,0.08,9,148.75,2009,1,1,3,3670.67
11.48,0,0.107,10,112.69,1987,0,1,2,2485.22
13.07,0,0.045,14,161.18,2009,1,1,3,3836.9
9.37,0,0.068,13,104.81,1998,2,2,1,1847.26
10.46,0,0.137,0,117.84,1987,0,1,2,2413.39
10.72,2,0.119,3,127.9,2009,1,1,3,2626.22
14.42,0,0.067,0,181.17,1987,0,1,2,4550.07
14.93,0,0.083,14,189.03,1987,0,1,2,4826.27
13.33,2,0.082,4,135.39,2009,1,1,3,3368.53
14.28,1,0.169,8,160.97,1987,0,1,2,4106.49
13.54,0,0.1,13,154.55,2009,1,1,3,3808.62
14.82,2,0.03,0,190.42,1987,0,1,2,4830.81
10.02,2,0.132,13,120.83,1987,0,1,2,2322.64
12.78,0,0.169,13,152.33,2009,1,1,3,3589.82
12.66,2,0.066,6,117.41,2009,1,1,3,2849.03
13.04,0,0.058,13,91.53,1987,0,1,2,2405.69
10.54,3,0.067,3,172.61,2009,1,1,3,3500.18
14.91,0,0.1,10,166.86,1999,1,0,0,4368.82
11.43,2,0.065,0,99.29,1998,2,2,1,2200.72
8.81,0,0.157,13,167.03,2009,1,1,3,2993.9
14.61,0,0.093,15,147.49,2009,1,1,3,3905.37
12.75,2,0.007,13,146.47,2009,1,1,3,3463.73
11.2,2,0.069,13,124.4,2009,1,1,3,2661.55
7.94,0,0.012,7,131.06,1998,2,2,1,2062.07
14.72,2,0.033,13,183.18,1987,0,1,2,4659.17
14.91,2,0.037,13,182.95,1987,0,1,2,4697.83
16.9,0,0.122,10,243.98,1999,1,0,0,6396.62
12.77,1,0.083,8,175.12,1987,0,1,2,4053.74
12.16,1,0.039,9,124.07,2009,1,1,3,2872.23
10.37,0,0.024,6,126.19,2009,1,1,3,2511.3
14.34,2,0.021,0,168.19,1999,1,0,0,4268.48
13.28,1,0.073,9,154.5,2009,1,1,3,3747.47
16.1,0,0.027,10,156.81,1999,1,0,0,4433.44
16.66,2,0.04,10,203.88,1999,1,0,0,5522.94
15.99,0,0.038,13,164.5,1987,0,1,2,4563.96
14.27,0,0.01,13,184.71,1987,0,1,2,4590.05
7.8,0,0.036,4,131.56,1998,2,2,1,2039.3
18.29,0,0.142,10,146.15,1999,1,0,0,4708.24
10.76,2,0.017,3,174.58,2009,1,1,3,3589.29
11.25,2,0.046,0,191.85,1987,0,1,2,4053.86
14.82,0,0.027,0,119.5,2009,1,1,3,3380.37
10.9,0,0.029,4,131.3,2009,1,1,3,2735.89
16.31,0,0.076,6,192.76,1999,1,0,0,5215.58
16.73,0,0.066,4,166.21,1987,0,1,2,4766.5
13.26,0,0.037,4,147.89,2009,1,1,3,3607.36
11.25,0,0.009,13,142.24,2009,1,1,3,3037.64
10.33,2,0.032,13,159.28,2009,1,1,3,3178.88
11.0,1,0.041,8,124.52,2009,1,1,3,2618.11
11.63,3,0.045,5,139.5,2009,1,1,3,3068.54
11.79,0,0.144,6,145.5,2009,1,1,3,3226.73
14.62,2,0.086,7,153.14,1987,0,1,2,4021.82
11.45,2,0.052,0,154.54,2009,1,1,3,3335.9
13.83,1,0.1,8,134.77,2009,1,1,3,3469.51
13.13,2,0.03,5,165.99,2009,1,1,3,3949.88
12.74,1,0.085,11,145.01,2009,1,1,3,3432.06
10.32,0,0.024,10,117.27,1987,0,1,2,2316.16
9.16,2,0.018,13,95.11,1998,2,2,1,1602.1
16.64,2,0.015,10,172.08,1999,1,0,0,4867.83
11.68,1,0.097,8,129.87,1998,2,2,1,1397.17
15.7,0,0.154,5,180.84,1987,0,1,2,4833.0
12.89,0,0.059,7,148.99,2009,1,1,3,3547.69
12.13,2,0.073,4,136.15,2009,1,1,3,3112.24
11.66,0,0.055,6,147.97,2009,1,1,3,3248.04
15.62,0,0.102,13,200.97,1999,1,0,0,5226.64
10.48,0,0.169,0,94.81,1998,2,2,1,1893.13
15.56,2,0.03,6,137.87,2009,1,1,3,3924.03
12.66,2,0.115,13,132.52,2009,1,1,3,3158.98
15.19,0,0.023,3,199.94,1999,1,0,0,5109.74
15.47,2,0.07,4,196.0,1987,0,1,2,2379.21
14.53,2,0.14,13,154.61,1987,0,1,2,4033.58
9.14,0,0.098,6,117.87,1998,2,2,1,2061.73
12.29,0,0.047,2,123.19,2009,1,1,3,2883.44
10.94,0,0.051,5,133.62,2009,1,1,3,2792.7
14.93,0,0.085,13,174.03,1987,0,1,2,4521.29
13.41,0,0.128,3,178.88,1999,1,0,0,4276.47
10.31,0,0.133,10,114.65,1998,2,2,1,2261.67
11.53,2,0.083,5,158.53,2009,1,1,3,3435.06
15.62,0,0.038,15,125.82,2009,1,1,3,3690.95
12.48,0,0.066,13,109.64,2009,1,1,3,2649.1
14.24,2,0.108,14,161.97,1987,0,1,2,4118.31
8.96,2,0.023,7,113.57,1998,2,2,1,1934.23
11.69,0,0.011,3,135.43,2009,1,1,3,2998.93
10.63,0,0.282,13,96.15,1998,2,2,1,1955.33
13.37,1,0.161,8,163.02,2009,1,1,3,4570.94
10.04,0,0.162,6,118.72,1998,2,2,1,2282.8
10.62,0,0.036,13,195.34,2009,1,1,3,3982.0
13.1,0,0.035,10,119.36,2009,1,1,3,2989.0
12.54,1,0.1,8,217.78,1987,0,1,2,4874.68
10.97,0,0.045,5,117.36,1987,0,1,2,2466.69
10.0,2,0.006,0,160.82,2009,1,1,3,3135.2
13.61,3,0.082,6,160.36,2009,1,1,3,3942.94
12.58,0,0.057,6,119.09,2009,1,1,3,2866.0
14.33,1,0.061,8,138.52,2009,1,1,3,3658.43
13.26,1,0.01,8,180.65,1999,1,0,0,4277.59
11.96,2,0.061,14,148.12,2009,1,1,3,3319.48
16.96,0,0.057,3,180.06,1999,1,0,0,5102.47
9.83,0,0.131,4,92.19,1998,2,2,1,1693.14
9.23,1,0.091,8,145.85,2009,1,1,3,2656.13
9.79,1,0.043,9,99.46,1998,2,2,1,1832.68
12.37,2,0.049,0,94.72,1987,0,1,2,2318.2
12.15,1,0.007,9,169.98,2009,1,1,3,3808.13
12.56,0,0.038,13,152.41,2009,1,1,3,3541.36
11.5,0,0.021,0,131.1,2009,1,1,3,2866.1
16.3,1,0.013,9,170.94,1987,0,1,2,4766.1
12.76,0,0.032,6,82.59,1998,2,2,1,2159.2
13.35,1,0.149,9,150.59,2009,1,1,3,3683.78
16.4,2,0.11,6,171.86,1987,0,1,2,4807.91
13.73,2,0.137,15,120.67,2009,1,1,3,3157.67
11.02,0,0.027,6,156.98,2009,1,1,3,3287.17
13.18,2,0.028,1,156.32,2009,1,1,3,3762.68
13.98,2,0.077,6,176.77,1999,1,0,0,4362.79
8.43,1,0.026,8,137.92,1987,0,1,2,2312.43
13.58,2,0.004,3,182.35,1999,1,0,0,5355.72
14.34,0,0.064,5,201.82,1987,0,1,2,4956.68
11.61,0,0.079,0,101.77,1998,2,2,1,2290.84
12.63,0,0.024,13,110.06,2009,1,1,3,2692.1
10.54,1,0.02,9,115.72,1987,0,1,2,2336.1
14.46,0,0.038,7,129.92,2009,1,1,3,3510.88
15.22,2,0.015,6,158.64,1999,1,0,0,4271.53
15.09,0,0.011,13,151.69,1987,0,1,2,4100.39
13.22,1,0.292,9,195.82,1987,0,1,2,4579.84
14.32,2,0.128,6,149.82,2009,1,1,3,3886.98
11.26,0,0.08,3,161.09,2009,1,1,3,3426.12
11.91,2,0.115,6,121.68,2009,1,1,3,2766.87
10.67,0,0.079,3,124.92,2009,1,1,3,2552.85
11.93,0,0.048,4,174.57,2009,1,1,3,3852.3
14.5,2,0.067,3,194.8,1987,0,1,2,4847.27
16.7,0,0.099,1,131.03,1987,0,1,2,4040.92
8.18,0,0.073,10,106.54,1998,2,2,1,1613.54
14.23,2,0.063,10,190.67,1987,0,1,2,4701.95
13.58,1,0.077,8,182.08,1999,1,0,0,4380.79
20.35,0,0.022,13,156.56,1999,1,0,0,5387.26
12.02,0,0.041,13,118.48,2009,1,1,3,2725.02
12.97,0,0.04,4,165.45,2009,1,1,3,3901.29
9.93,0,0.041,13,120.85,1987,0,1,2,2301.83
12.22,2,0.064,0,151.05,2009,1,1,3,3437.02
13.37,0,0.045,14,127.97,2009,1,1,3,3225.96
13.07,1,0.036,9,115.87,2009,1,1,3,2909.34
11.65,2,0.154,3,157.84,2009,1,1,3,3447.49
14.44,0,0.036,13,134.53,1999,1,0,0,6410.25
10.72,2,0.083,6,119.55,1987,0,1,2,2453.7
14.62,2,0.119,7,199.73,1987,0,1,2,4976.47
14.34,0,0.033,4,148.41,2009,1,1,3,3863.08
15.68,2,0.104,13,141.98,1987,0,1,2,4033.74
12.2,0,0.084,6,134.65,2009,1,1,3,3097.45
9.67,1,0.082,9,104.08,1998,2,2,1,1900.56
11.38,0,0.026,10,117.21,2009,1,1,3,2555.37
13.29,1,0.124,8,174.98,1987,0,1,2,4169.06
7.63,0,0.077,14,128.77,1998,2,2,1,1943.93
13.3,2,0.009,6,158.76,2009,1,1,3,3839.6
9.81,0,0.05,5,156.67,2009,1,1,3,3008.65
15.42,2,0.021,5,187.03,1987,0,1,2,4897.07
10.97,0,0.057,13,163.96,2009,1,1,3,3418.73
15.04,3,0.024,1,196.19,1987,0,1,2,4997.63
10.06,0,0.031,0,77.58,1998,2,2,1,1445.69
13.67,0,0.055,10,125.03,2009,1,1,3,3233.44
12.59,2,0.032,13,153.59,2009,1,1,3,3573.63
10.43,0,0.059,13,73.7,1998,2,2,1,1450.83
12.26,3,0.085,6,138.07,2009,1,1,3,3180.13
10.57,2,0.065,14,128.59,2009,1,1,3,2605.51
10.99,0,0.126,5,148.23,2009,1,1,3,3100.94
11.59,2,0.035,3,96.26,1998,2,2,1,2175.23
15.44,0,0.082,5,220.07,1999,1,0,0,5577.07
11.16,0,0.052,6,151.76,2009,1,1,3,3212.28
13.48,1,0.142,8,153.36,2009,1,1,3,3768.73
10.02,3,0.184,6,89.92,1998,2,2,1,1688.81
11.58,2,0.228,14,152.36,2009,1,1,3,3321.03
10.21,0,0.096,6,121.78,1987,0,1,2,2385.57
14.83,0,0.071,5,167.45,1999,1,0,0,4362.79
8.44,1,0.188,8,102.17,1987,0,1,2,4466.61
8.4,2,0.036,4,90.7,1998,2,2,1,1339.07
12.16,1,0.21,9,173.09,2009,1,1,3,3875.63
17.18,0,0.026,6,217.07,1999,1,0,0,5908.59
13.84,0,0.061,10,146.78,2009,1,1,3,3717.08
14.54,0,0.048,13,174.41,1999,1,0,0,4439.31
11.36,0,0.14,14,152.15,2009,1,1,3,3265.06
13.68,2,0.055,13,172.37,1999,1,0,0,4204.8
12.4,0,0.055,4,112.74,2009,1,1,3,2695.15
11.35,2,0.023,7,95.79,1998,2,2,1,2111.1
17.24,0,0.069,14,224.3,1999,1,0,0,6071.0
8.18,0,0.151,14,103.74,1998,2,2,1,1557.03
9.65,0,0.027,15,94.67,1998,2,2,1,1704.05
16.54,2,0.013,13,220.37,1999,1,0,0,5833.35
12.14,0,0.079,10,144.92,2009,1,1,3,3295.1
11.68,0,0.12,6,129.73,2009,1,1,3,2879.43
11.49,0,0.081,3,160.35,2009,1,1,3,3463.94
13.22,3,0.122,0,127.13,2009,1,1,3,3174.35
8.63,1,0.036,9,129.62,1998,2,2,1,2188.69
11.33,0,0.03,4,145.97,2009,1,1,3,3133.61
14.35,0,0.027,0,135.3,2009,1,1,3,3596.02
10.2,0,0.08,13,145.66,2009,1,1,3,2871.58
14.04,0,0.032,5,108.88,2009,1,1,3,2985.23
10.29,0,0.027,13,150.71,2009,1,1,3,2994.8
16.1,0,0.05,4,172.97,1987,0,1,2,4764.19
10.99,0,0.022,14,146.14,2009,1,1,3,2965.77
12.28,0,0.093,13,100.94,1987,0,1,2,2426.07
10.37,0,0.112,3,146.48,2009,1,1,3,2926.74
12.92,2,0.027,6,131.58,2009,1,1,3,3198.09
12.12,1,0.113,8,151.61,2009,1,1,3,3426.25
14.33,2,0.098,10,194.7,1987,0,1,2,3721.52
13.54,2,0.103,5,99.24,2009,1,1,3,2675.79
17.44,1,0.034,9,193.87,1999,1,0,0,5494.21
15.49,2,0.089,6,156.13,1999,1,0,0,4279.56
21.04,2,0.04,15,158.86,1999,1,0,0,5591.41
12.03,1,0.02,8,95.47,1998,2,2,1,2256.39
13.58,2,0.178,4,117.91,2009,1,1,3,3066.6
16.19,2,0.067,6,126.46,2009,1,1,3,3831.71
5.71,0,0.031,4,120.96,1998,2,2,1,1350.76
13.69,1,0.062,9,155.48,2009,1,1,3,3860.83
14.44,0,0.031,13,135.2,2009,1,1,3,3614.1
16.74,0,0.1,13,203.67,1999,1,0,0,5535.46
10.93,1,0.083,9,105.58,1998,2,2,1,2215.86
9.01,2,0.089,3,96.1,1998,2,2,1,1588.94
15.01,0,0.09,0,145.57,2009,1,1,3,3956.75
12.48,0,0.021,0,143.52,2009,1,1,3,3343.31
13.85,2,0.033,10,159.07,2009,1,1,3,3969.81
14.17,0,0.082,5,161.55,1998,2,2,1,1786.99
11.19,2,0.043,3,130.27,2009,1,1,3,2780.34
11.12,0,0.119,14,102.57,1998,2,2,1,2196.18
13.1,2,0.03,5,157.08,2009,1,1,3,3759.71
10.22,0,0.123,4,130.98,2009,1,1,3,2575.65
13.45,0,0.029,6,146.12,2009,1,1,3,3615.16
15.39,0,0.09,1,154.27,1999,1,0,0,4221.01
13.18,2,0.14,2,144.03,2009,1,1,3,3510.58
16.33,0,0.089,13,146.79,1999,1,0,0,4280.48
11.39,0,0.065,6,178.11,2009,1,1,3,2119.94
14.13,0,0.118,6,223.61,1999,1,0,0,5353.78
13.17,0,0.076,5,151.4,2009,1,1,3,3659.4
12.5,1,0.032,9,149.26,2009,1,1,3,3463.5
10.64,0,0.144,15,150.91,2009,1,1,3,3077.83
15.54,0,0.027,4,186.52,1987,0,1,2,4913.95
13.26,2,0.029,14,120.55,2009,1,1,3,3048.43
15.36,0,0.044,4,221.8,1999,1,0,0,5594.15
15.95,1,0.036,11,176.83,1987,0,1,2,4808.21
12.36,2,0.026,14,98.31,1987,0,1,2,2389.89
5.93,0,0.03,4,109.76,1998,2,2,1,1171.69
8.92,0,0.173,3,142.67,2009,1,1,3,2519.65
8.96,1,0.022,8,129.98,1998,2,2,1,2269.34
12.91,0,0.044,1,131.29,2009,1,1,3,3189.35
10.73,0,0.014,6,153.79,2009,1,1,3,3347.48
12.68,1,0.024,8,140.13,2009,1,1,3,3317.08
11.15,0,0.116,6,140.71,2009,1,1,3,2985.32
12.99,0,0.061,13,130.04,2009,1,1,3,3180.86
15.35,2,0.081,14,162.2,1999,1,0,0,4372.2
10.09,1,0.029,9,88.75,1998,2,2,1,1682.18
14.28,1,0.084,8,148.82,2009,1,1,3,3856.98
11.41,1,0.054,9,138.43,2009,1,1,3,2995.34
12.15,1,0.063,11,155.6,2009,1,1,3,3514.82
